the_geom,SEGID,SEGPART,STREETID,STATUSID,MAPSTATUS,STREETNAME,STR_FROM,STR_TO,SEGDESCR,SCHEDULE
"MULTIPOLYGON (((144.980643998884 -37.834748040023, 144.98054259969 -37.835240072758, 144.980332957698 -37.835211315609, 144.980342905725 -37.83516569755, 144.98043483605 -37.834735926987, 144.980448484063 -37.83467504339, 144.980526406736 -37.834320550929, 144.980534381256 -37.83428520844, 144.980598132005 -37.833985372418, 144.980800825959 -37.834010459262, 144.980741863096 -37.834282666373, 144.980735988836 -37.834309745074, 144.980729966966 -37.834340570133, 144.980648226241 -37.834726772698, 144.980643998884 -37.834748040023)))",22258,,,,,,,,Millswyn Street between Domain Road and St Martins Lane,Complete
"MULTIPOLYGON (((144.929972412608 -37.789753751245, 144.930164992472 -37.790534245698, 144.929901265492 -37.790503746674, 144.929879113826 -37.790411266302, 144.929720751294 -37.789725581678, 144.929972412608 -37.789753751245)))",22995,,,,,,,,Eastwood Street between Parsons Street and Mulgrave Street,Years 8 - 10
"MULTIPOLYGON (((144.945935870919 -37.807827601438, 144.946479549169 -37.807329254178, 144.946513785084 -37.807297210677, 144.946690050047 -37.807134630496, 144.947010750798 -37.807255284149, 144.946716400269 -37.807529543033, 144.946689482602 -37.807552441118, 144.946414247169 -37.807808206989, 144.946248511966 -37.807961670247, 144.945935870919 -37.807827601438)))",21461,,,,,,,,Hawke Street between Ireland Street and Spencer Street,Complete
"MULTIPOLYGON (((144.959068850999 -37.784564237963, 144.959405097174 -37.781848952759, 144.960079318106 -37.781901320151, 144.959744512414 -37.784616722616, 144.959068850999 -37.784564237963)))",22387,,,,,,,,Royal Parade between Ievers Street and Walker Street,Not determined by precinct plan
"MULTIPOLYGON (((144.939909218347 -37.796126947383, 144.939941780992 -37.796103942264, 144.940034764139 -37.7956527914, 144.940215348795 -37.795762640168, 144.940104999537 -37.796303830212, 144.939909218347 -37.796126947383)))",21290,,,,,,,,Vaughan Terrace between MacAulay Road and Canning Street,Not determined by precinct plan
"MULTIPOLYGON (((144.956649136098 -37.815981616727, 144.956284945545 -37.815182884114, 144.956279332816 -37.815170566764, 144.956328039843 -37.815156668941, 144.956373247389 -37.815143620546, 144.956387126328 -37.815173780432, 144.95674523385 -37.815951743247, 144.956649136098 -37.815981616727)))",20415,,,,,,,,Gresham Street between Bourke Street and Little Bourke Street,Years 8 - 10
"MULTIPOLYGON (((144.969387169713 -37.802989686344, 144.969693532226 -37.801187709605, 144.970039063011 -37.801224964254, 144.969749645465 -37.802914875215, 144.969730500371 -37.803026705787, 144.969387169713 -37.802989686344)))",20558,,,,,,,,Rathdowne Street between Pelham Street and Grattan Street,Years 8 - 10
"MULTIPOLYGON (((144.986505154686 -37.829067543036, 144.986440101915 -37.829425116968, 144.986015593826 -37.82904137124, 144.985626792232 -37.828747730825, 144.985358788466 -37.828595379108, 144.984932902402 -37.828543725719, 144.985007948055 -37.828154422008, 144.985198668528 -37.828217789472, 144.985383787666 -37.828290864203, 144.985562521137 -37.8283733366, 144.985828476953 -37.828524526346, 144.985865536321 -37.828548852289, 144.986254337888 -37.828842491923, 144.986275840018 -37.828860252416, 144.986505154686 -37.829067543036)))",22278,,,,,,,,Alexandra Avenue between Anderson Street and Walsh Street,Complete
"MULTIPOLYGON (((144.980111970651 -37.836287889253, 144.980118618434 -37.836261211373, 144.980308813876 -37.835316645328, 144.980317243698 -37.835283365352, 144.980320957964 -37.835266333775, 144.980531234156 -37.83529517392, 144.980499090094 -37.835450958431, 144.980494350486 -37.835475172816, 144.980313780709 -37.83635768716, 144.980305909331 -37.836397149759, 144.980170059558 -37.837079712187, 144.980164740802 -37.837106403856, 144.980103417434 -37.837414544877, 144.979888080755 -37.837383553382, 144.980111970651 -37.836287889253)))",22740,,,,,,,,Millswyn Street between Toorak Road and St Martins Lane,Complete
"MULTIPOLYGON (((144.970832185018 -37.81305835587, 144.970457347387 -37.812254606353, 144.970781342813 -37.812158861928, 144.971156727915 -37.8129663778, 144.970832185018 -37.81305835587)))",20141,,,,,,,,Exhibition Street between Little Collins Street and Bourke Street,Years 5 - 7
"MULTIPOLYGON (((144.958173752993 -37.791854434687, 144.958856120257 -37.791905788771, 144.958804142599 -37.792340724714, 144.958752814134 -37.7927702017, 144.958067254938 -37.79271859333, 144.958080596434 -37.79261018764, 144.958115345094 -37.792327685032, 144.958124043236 -37.792257174467, 144.958173752993 -37.791854434687)))",22372,,,,,,,,Intersection of Royal Parade and Gatehouse Street,Not determined by precinct plan
"MULTIPOLYGON (((144.934114014267 -37.796521488653, 144.935148723095 -37.796639773929, 144.935337099373 -37.796661307464, 144.935362107053 -37.796846072079, 144.934182292972 -37.796711374242, 144.934114014267 -37.796521488653)))",22521,,,,,,,,Chelmsford Street between Barrett Street and Bent Street,Years 5 - 7
"MULTIPOLYGON (((144.934182292972 -37.796711374242, 144.933995651075 -37.796690779473, 144.933925831256 -37.796499974581, 144.934114014267 -37.796521488653, 144.934182292972 -37.796711374242)))",21282,,,,,,,,Intersection of Chelmsford Street and Barrett Street,Years 5 - 7
"MULTIPOLYGON (((144.987514928737 -37.832998664577, 144.987613610149 -37.833010408541, 144.98759301082 -37.833117008079, 144.987492728894 -37.83310520069, 144.987514928737 -37.832998664577)))",22718,,,,,,,,Intersection of Punt Road and The Righi,Not determined by precinct plan
"MULTIPOLYGON (((144.932406421284 -37.796325155169, 144.932476589188 -37.796520436854, 144.931607209994 -37.796422361636, 144.931554502142 -37.796270146825, 144.931539610083 -37.796227115551, 144.931786134753 -37.796255002008, 144.932406421284 -37.796325155169)))",21285,,,,,,,,Chelmsford Street between Eastwood Street and Elizabeth Street,Years 5 - 7
"MULTIPOLYGON (((144.937543560799 -37.799468901038, 144.939743250971 -37.799712053073, 144.93969607588 -37.799982931826, 144.937621691816 -37.799754121226, 144.937543560799 -37.799468901038)))",21301,,,,,,,,Arden Street between Fogarty Street and Langford Street,Years 1 - 4
"MULTIPOLYGON (((144.974262755009 -37.814408009857, 144.973867227752 -37.814523106806, 144.973861519548 -37.814510851701, 144.973821111384 -37.814520907419, 144.973825650959 -37.814531033662, 144.973649214537 -37.814583798359, 144.973644344186 -37.814572891405, 144.972106839994 -37.815025019146, 144.972061844824 -37.814924556017, 144.973570858844 -37.81448608701, 144.973575696077 -37.814496542808, 144.973784746971 -37.814436246883, 144.97383480155 -37.814419877703, 144.973829683605 -37.81440888539, 144.974211214397 -37.814298396095, 144.974262755009 -37.814408009857)))",20121,,,,,,,,Flinders Lane between Spring Street and Exhibition Street,Complete
"MULTIPOLYGON (((144.959769221398 -37.81867081069, 144.959662902719 -37.81844140372, 144.960417132428 -37.818222337472, 144.960517844811 -37.818452854256, 144.959769221398 -37.81867081069)))",20133,,,,,,,,Flinders Lane between Market Street and William Street,Years 8 - 10
"MULTIPOLYGON (((144.933925831256 -37.796499974581, 144.933995651075 -37.796690779473, 144.933291069446 -37.796610062494, 144.933323630506 -37.796431129072, 144.933925831256 -37.796499974581)))",21281,,,,,,,,Chelmsford Street between Albermarle Street and Barrett Street,Years 5 - 7
"MULTIPOLYGON (((144.948449734803 -37.808447744934, 144.948145040773 -37.808159728561, 144.948133497408 -37.808149172922, 144.948121954045 -37.808138617282, 144.947882289345 -37.807923232561, 144.94813170577 -37.807735872061, 144.948288871378 -37.807875435915, 144.94842660509 -37.808004261457, 144.948715910741 -37.808282357464, 144.948449734803 -37.808447744934)))",21651,,,,,,,,Spencer Street between Stanley Street and Roden Street,Not determined by precinct plan
"MULTIPOLYGON (((144.947379426799 -37.81127911915, 144.946151312956 -37.811746906464, 144.945596322156 -37.81195830065, 144.945351855459 -37.811750847501, 144.94542014083 -37.811724814556, 144.945873419086 -37.811552037473, 144.945986341672 -37.811508912599, 144.946944308174 -37.811143025952, 144.947587256292 -37.810897453891, 144.947730545139 -37.811145368093, 144.947379426799 -37.81127911915)))",22544,,,,,,,,Dudley Street between Wurundjeri Way and Adderley Street,Not determined by precinct plan
"MULTIPOLYGON (((144.970414521419 -37.815417332544, 144.97004930368 -37.814608439808, 144.970112023207 -37.814590064658, 144.970224220268 -37.814835208383, 144.970483845777 -37.815396727991, 144.970414521419 -37.815417332544)))",20254,,,,,,,,George Parade between Collins Street and Flinders Lane,Years 8 - 10
"MULTIPOLYGON (((144.911261604374 -37.825439562965, 144.910529714133 -37.822953908868, 144.911038001177 -37.822798086846, 144.910960930353 -37.822901121017, 144.910901047335 -37.823011314881, 144.910853359812 -37.823125262525, 144.910818220467 -37.823242121224, 144.910795889179 -37.823361026725, 144.910786531105 -37.823481099638, 144.910790215455 -37.82360145194, 144.910806914979 -37.823721193538, 144.910833058934 -37.823840083756, 144.911304306604 -37.82543165132, 144.911261604374 -37.825439562965)), ((144.911155979373 -37.822761916475, 144.91195527122 -37.822516873737, 144.911842137661 -37.822561463325, 144.911737099821 -37.822617227005, 144.911638833224 -37.822680251073, 144.911548122722 -37.822750032158, 144.911465692817 -37.822826012922, 144.911396652892 -37.822909895343, 144.91131949744 -37.823004357018, 144.911258445376 -37.823106154742, 144.911208824694 -37.823211853213, 144.911171011354 -37.823320651587, 144.911145291855 -37.823431725535, 144.911131861065 -37.823544233488, 144.911130820745 -37.823657323009, 144.911142178777 -37.823770137257, 144.911162969469 -37.823882290512, 144.911602558027 -37.825376446835, 144.911379317674 -37.825417770358, 144.910905901319 -37.823826507036, 144.910881539161 -37.823716159201, 144.910865468016 -37.823605057948, 144.910861102054 -37.82349335708, 144.91086847161 -37.823381832672, 144.910887525481 -37.823271259573, 144.910918131285 -37.823162406024, 144.910960076379 -37.823056028318, 144.911013069335 -37.822952865546, 144.911076741971 -37.822853634464, 144.911155979373 -37.822761916475)))",22163,,,,,,,,Todd Road between Wirraway Drive and Lorimer Street,Years 8 - 10
"MULTIPOLYGON (((144.951449691284 -37.800266752816, 144.951409037991 -37.800535776614, 144.950949870408 -37.800487334207, 144.950904679466 -37.800482817008, 144.950540576691 -37.800442885083, 144.950496529608 -37.800438486764, 144.95027562076 -37.800413743628, 144.950261474923 -37.800422175732, 144.950263132275 -37.800412345716, 144.950393450885 -37.800148415595, 144.95104337437 -37.800221059541, 144.951116767333 -37.800229203455, 144.951449691284 -37.800266752816)))",21144,,,,,,,,O'Shanassy Street between Leveson Street and Errol Street,Years 8 - 10
"MULTIPOLYGON (((144.949340186906 -37.809459828373, 144.949628305871 -37.809324550769, 144.949739934936 -37.809477044694, 144.949847828148 -37.809633618873, 144.950058569236 -37.80995387048, 144.94975402192 -37.810071966041, 144.949340186906 -37.809459828373)))",21417,,,,,,,,Spencer Street between Dudley Street and Rosslyn Street,Not determined by precinct plan
"MULTIPOLYGON (((144.972790002647 -37.797322411989, 144.972897744806 -37.796698027954, 144.972899927166 -37.796684250436, 144.973235585706 -37.796720090951, 144.973081326093 -37.797623346739, 144.972737955671 -37.797588625627, 144.972784288068 -37.797346996924, 144.972790002647 -37.797322411989)))",20583,,,,,,,,Canning Street between Elgin Street and Palmerston Street,Complete
"MULTIPOLYGON (((144.967480267035 -37.798558083818, 144.967133908472 -37.798522114215, 144.967176047793 -37.798280848156, 144.967180759001 -37.798253164169, 144.967220877996 -37.798019297929, 144.967230825666 -37.797966723657, 144.967289449011 -37.797635759377, 144.967295560139 -37.797603818946, 144.967354220756 -37.797278100112, 144.967697268651 -37.797314074957, 144.967517843449 -37.798346099271, 144.967511272841 -37.798378230039, 144.96748226634 -37.798546466086, 144.967480267035 -37.798558083818)))",20534,,,,,,,,Lygon Street between Faraday Street and Elgin Street,Years 1 - 4
"MULTIPOLYGON (((144.941478799388 -37.792520539056, 144.941579660586 -37.792531719277, 144.941454650641 -37.79324980787, 144.941390899839 -37.793242745757, 144.941351648463 -37.793238400859, 144.941357653252 -37.793204540518, 144.941368710144 -37.793142093082, 144.941397946238 -37.792977031141, 144.941410859972 -37.792904144495, 144.941440095605 -37.792739091539, 144.94145115284 -37.792676626072, 144.941478799388 -37.792520539056)))",23133,,,,,,,,Pearl Street between Sutton Street and Willow Ware Close,Years 5 - 7
"MULTIPOLYGON (((144.93095704895 -37.824114061669, 144.930974960405 -37.823842511473, 144.934308719623 -37.823938781688, 144.934406242319 -37.823909014804, 144.934546602983 -37.823812970291, 144.934547790548 -37.823749188251, 144.935141901251 -37.824234859562, 144.93095704895 -37.824114061669)))",22134,,,,,,,,Turner Street between Graham Street and Ingles Street,Years 8 - 10
"MULTIPOLYGON (((144.970436888784 -37.798875491147, 144.970438638424 -37.798865094661, 144.97045037398 -37.798876994214, 144.972474211664 -37.799101373635, 144.972198519767 -37.799343360596, 144.971805051971 -37.799297599722, 144.971724727493 -37.799289115011, 144.971311534909 -37.799245770375, 144.97129884054 -37.799244001663, 144.970395592741 -37.799148143042, 144.970436888784 -37.798875491147)))",20673,,,,,,,,Faraday Street between Canning Street and Rathdowne Street,Complete
"MULTIPOLYGON (((144.964970479102 -37.795671693547, 144.964899202576 -37.796084355138, 144.964895346504 -37.796106511564, 144.96478799967 -37.796724009387, 144.964441168951 -37.796686572903, 144.96445924933 -37.79658106004, 144.964773468089 -37.794747545819, 144.964786671894 -37.794562191497, 144.964780510441 -37.794376433239, 144.964760564926 -37.794191061264, 144.964704393199 -37.793947540954, 144.964617855997 -37.793709689526, 144.964501818818 -37.793479885041, 144.96490295529 -37.79366990099, 144.965325972668 -37.79356869016, 144.965267330956 -37.793908430763, 144.965199068678 -37.794327678307, 144.964979647224 -37.79561860133, 144.964970479102 -37.795671693547)))",20494,,,,,,,,Swanston Street between Elgin Street and College Crescent,Years 5 - 7
"MULTIPOLYGON (((144.985465948342 -37.842921604191, 144.985546178734 -37.842530668587, 144.985554523961 -37.842490006183, 144.985637425829 -37.842086049155, 144.985639246317 -37.842077194719, 144.98574372355 -37.841568106172, 144.98585608092 -37.841582563955, 144.985579145776 -37.842936166753, 144.985465948342 -37.842921604191)))",22484,,,,,,,,Punt Road between Pasley Street North and Pasley Street South,Not determined by precinct plan
"MULTIPOLYGON (((144.971211918545 -37.794374270612, 144.970841672207 -37.794537935421, 144.970928613611 -37.7940308617, 144.970946978064 -37.793923730456, 144.971028876132 -37.793446110378, 144.971048078565 -37.7933340731, 144.971157526382 -37.792695760499, 144.97149444872 -37.792730374919, 144.971439526167 -37.793050627431, 144.971303511312 -37.79382907569, 144.971217928314 -37.794338489168, 144.971217746223 -37.794340078622, 144.971217761591 -37.794341676468, 144.971217954262 -37.794343268154, 144.971218322737 -37.794344841297, 144.971218864149 -37.794346383656, 144.971219574287 -37.794347883232, 144.971220447624 -37.79434932836, 144.971221477366 -37.794350707794, 144.971222655502 -37.794352010804, 144.971223972867 -37.794353227252, 144.97122541921 -37.794354347673, 144.971226983279 -37.794355363351, 144.971228652905 -37.794356266384, 144.9712304151 -37.794357049746, 144.971232256152 -37.794357707343, 144.971234161738 -37.794358234057, 144.971236117033 -37.794358625793, 144.971238106824 -37.794358879501, 144.971240115631 -37.794358993207, 144.971242127825 -37.794358966029, 144.971244127751 -37.794358798175, 144.971246099849 -37.794358490954, 144.971248028776 -37.794358046754, 144.971249899526 -37.794357469032, 144.971251658247 -37.794356706307, 144.971211918545 -37.794374270612)))",20639,,,,,,,,Rathdowne Street between Neill Street and Princes Street,Complete
"MULTIPOLYGON (((144.931432560936 -37.794495684338, 144.931776157835 -37.794533215127, 144.931741651542 -37.794718278004, 144.93123614419 -37.794660843772, 144.931167832691 -37.79446676549, 144.931397587686 -37.79449186185, 144.931432560936 -37.794495684338)))",23205,,,,,,,,Macaulay Road between Barnett Street and Eastwood Street,Not determined by precinct plan
"MULTIPOLYGON (((144.948982082738 -37.81212777209, 144.949354799795 -37.812452441232, 144.949054925972 -37.812536696005, 144.948227128825 -37.811809112488, 144.948522415692 -37.811726347921, 144.948940416209 -37.812090467656, 144.948982082738 -37.81212777209)))",21503,,,,,,,,Adderley Street between Jeffcott Street and Batman Street,Years 8 - 10
"MULTIPOLYGON (((144.955856438865 -37.814275658854, 144.955909642208 -37.814260992149, 144.956011175018 -37.814483317244, 144.956282910229 -37.815070508343, 144.956229657836 -37.81508322782, 144.955856438865 -37.814275658854)))",20411,,,,,,,,Crombie Lane between Lonsdale Street and Little Bourke Street,Years 8 - 10
"MULTIPOLYGON (((144.952171764966 -37.808272171602, 144.952252884003 -37.808454439127, 144.951783035152 -37.808658386022, 144.951584951485 -37.808371133321, 144.951862895729 -37.808232996637, 144.952102051139 -37.808114127701, 144.952159923861 -37.808245236822, 144.952171764966 -37.808272171602)))",22663,,,,,,,,King Street between Walsh Street and Rosslyn Street,Not determined by precinct plan
"MULTIPOLYGON (((144.947696984424 -37.802489460245, 144.947692794341 -37.802518558263, 144.94757935282 -37.802504658603, 144.947588351248 -37.802457774089, 144.94622349628 -37.802308417587, 144.946215189379 -37.802353268381, 144.946106136106 -37.802340876707, 144.946165463796 -37.801978206212, 144.946278255249 -37.80199175344, 144.946241501868 -37.802218902482, 144.947602260975 -37.802367637656, 144.94764162336 -37.80214538194, 144.947753181746 -37.802157951024, 144.947696984424 -37.802489460245)))",21072,,,,,,,,Little Provost Street from Provost Street,Years 5 - 7
"MULTIPOLYGON (((144.92441456574 -37.789524657962, 144.924581357031 -37.789689421095, 144.92445736695 -37.789768476828, 144.923998609684 -37.789315310411, 144.923974673316 -37.789313239327, 144.923987946373 -37.789304776971, 144.92412522051 -37.789217259548, 144.924122533369 -37.789236181889, 144.924335910841 -37.789446960352, 144.92441456574 -37.789524657962)))",23084,,,,,,,,The Lairidge between Bendall Street and Weighbridge Lane,Years 5 - 7
"MULTIPOLYGON (((144.920165308835 -37.798343913883, 144.921814278983 -37.797394217141, 144.921947000924 -37.797539476133, 144.92036826078 -37.798445437464, 144.920165308835 -37.798343913883)))",21845,,,,,,,,Kensington Road between Mercantile Parade and Hobsons Road,Years 8 - 10
"MULTIPOLYGON (((144.926910264108 -37.821131746335, 144.926919854342 -37.820918932722, 144.928537461768 -37.821090563342, 144.93054899812 -37.821514494064, 144.930539841353 -37.821734119529, 144.928469557657 -37.821299088923, 144.926910264108 -37.821131746335)))",22158,,,,,,,,Lorimer Street between Graham Street and Hall Street,Years 8 - 10
"MULTIPOLYGON (((144.944917371118 -37.810147493886, 144.945158028333 -37.810450333765, 144.945054476001 -37.810513194884, 144.94482230049 -37.810218676482, 144.944917371118 -37.810147493886)))",21543,,,,,,,,Railway Place between Stanley Street and Roden Street,Complete
"MULTIPOLYGON (((144.942645660114 -37.790148243753, 144.941840828636 -37.789516154862, 144.942437216362 -37.789608231227, 144.942784333364 -37.789511705171, 144.942791788173 -37.789517647976, 144.943399807541 -37.790001988419, 144.942930402293 -37.790380097678, 144.942729796263 -37.790218608413, 144.942645660114 -37.790148243753)))",22590,,,,,,,,Flemington Road between Racecourse Road and Melrose Street,Not determined by precinct plan
"MULTIPOLYGON (((144.978448763321 -37.835273951031, 144.977719076515 -37.835187648726, 144.977756094919 -37.835003372501, 144.978495216601 -37.835099875658, 144.978448763321 -37.835273951031)))",22203,,,,,,,,Bromby Street between Domain Street and Adams Street,Complete
"MULTIPOLYGON (((144.928242504634 -37.790652163757, 144.928197731593 -37.79065165549, 144.927895195355 -37.790648234412, 144.927900568309 -37.790555093483, 144.928198781056 -37.790559204483, 144.928239964108 -37.790559766749, 144.928540345073 -37.790563906014, 144.928550705459 -37.790655656541, 144.928242504634 -37.790652163757)))",22989,,,,,,,,Coote Street between McConnell Street and McCracken Street,Years 5 - 7
"MULTIPOLYGON (((144.968275859958 -37.799441485815, 144.96847573456 -37.799462660179, 144.968468076621 -37.799527025422, 144.968459169878 -37.799516346006, 144.967611418054 -37.799426560079, 144.967576482576 -37.799422857095, 144.967346428871 -37.799398492817, 144.967335213402 -37.799404508352, 144.967336418299 -37.799397427863, 144.967345725019 -37.799342968078, 144.967589798041 -37.799368817934, 144.967624121978 -37.799372456289, 144.968241003646 -37.799437793406, 144.968275859958 -37.799441485815)))",20770,,,,,,,,University Street between Drummond Street and Lygon Street,Years 5 - 7
"MULTIPOLYGON (((144.970590846414 -37.79798083144, 144.970904571142 -37.798017796632, 144.9709319894 -37.798021026654, 144.971225675474 -37.798053202916, 144.972053347101 -37.798145122176, 144.972081787877 -37.798148757046, 144.972632346823 -37.798212135937, 144.972599882829 -37.798390118694, 144.970562374857 -37.798165055462, 144.970590846414 -37.79798083144)))",20670,,,,,,,,MacArthur Place North between Canning Street and Rathdowne Street,Years 1 - 4
"MULTIPOLYGON (((144.971569660778 -37.813868207647, 144.971253805516 -37.813964707196, 144.971193739816 -37.813835551946, 144.971182777139 -37.813813176081, 144.971157869195 -37.813760776035, 144.971142592303 -37.813730846062, 144.970880747703 -37.813165333371, 144.971195754541 -37.813058222317, 144.971569660778 -37.813868207647)))",20140,,,,,,,,Exhibition Street between Collins Street and Little Collins Street,Years 5 - 7
"MULTIPOLYGON (((144.965307657896 -37.800431712703, 144.96526077234 -37.800697903612, 144.965258415149 -37.800712200625, 144.965242767875 -37.800695943367, 144.964716026756 -37.800638717969, 144.964665229023 -37.800633198954, 144.964404536921 -37.800604874878, 144.964369481662 -37.800600970609, 144.964117811875 -37.800573730071, 144.964169807566 -37.800307709107, 144.965307657896 -37.800431712703)))",22506,,,,,,,,Grattan Street between Cardigan Street and Swanston Street,Years 5 - 7
"MULTIPOLYGON (((144.946465948595 -37.798312355488, 144.946462478079 -37.798331868504, 144.946118802095 -37.798296262422, 144.946248312929 -37.797582546083, 144.94658867435 -37.797622077155, 144.946465948595 -37.798312355488)))",22517,,,,,,,,Abbotsford Street between Haines Street and Wood Street,Complete
"MULTIPOLYGON (((144.927614242289 -37.787956467222, 144.928779674444 -37.788081874548, 144.928756341793 -37.788218415688, 144.927590674844 -37.788094427832, 144.927614242289 -37.787956467222)))",23144,,,,,,,,Racecourse Road between Bellair Street and Calwell Street,Years 5 - 7
"MULTIPOLYGON (((144.943624259846 -37.808192630666, 144.943507552462 -37.808362482398, 144.943294502692 -37.808097141629, 144.943468518569 -37.80784686993, 144.943771717345 -37.807978031784, 144.943640298135 -37.808169290981, 144.943624259846 -37.808192630666)))",21449,,,,,,,,Abbotsford Street between Railway Place and Adderley Street,Complete
"MULTIPOLYGON (((144.94098422955 -37.783868982828, 144.940594530088 -37.783494840763, 144.940650636763 -37.783414148144, 144.940715073358 -37.78337942598, 144.940750253878 -37.783360476534, 144.941439180085 -37.784022069973, 144.941488405967 -37.784353022395, 144.941006216913 -37.783890094278, 144.94098422955 -37.783868982828)))",22416,,,,,,,,Manningham Street between Oak Street and Tullamarine Freeway,Years 8 - 10
"MULTIPOLYGON (((144.960267476621 -37.817462541769, 144.960414608145 -37.817418067183, 144.960611874107 -37.81785968945, 144.960735603043 -37.818130211359, 144.960593109555 -37.818171225045, 144.960267476621 -37.817462541769)))",20180,,,,,,,,Market Street between Flinders Lane and Collins Street,Years 8 - 10
"MULTIPOLYGON (((144.961575563166 -37.810399106696, 144.961462248411 -37.810145482582, 144.962764083343 -37.809764943764, 144.962812130893 -37.809750896603, 144.963597354534 -37.809521359418, 144.963721201196 -37.809771414803, 144.961575563166 -37.810399106696)))",20022,,,,,,,,La Trobe Street between Swanston Street and Elizabeth Street,Years 1 - 4
"MULTIPOLYGON (((144.921414976251 -37.790797191995, 144.921677833721 -37.790632491567, 144.921675019271 -37.790651474676, 144.921864977823 -37.790842396945, 144.921888898963 -37.790844621394, 144.921875525513 -37.790853000627, 144.92163940307 -37.791000951883, 144.921626029816 -37.791009322079, 144.921628844296 -37.790990338973, 144.921438897107 -37.790799425542, 144.921414976251 -37.790797191995)))",21797,,,,,,,,Sims Square between Howlett Street and Gregory Lane,Years 8 - 10
"MULTIPOLYGON (((144.960858029382 -37.802059117618, 144.961997264315 -37.802181843684, 144.961950087519 -37.802449469898, 144.96081186272 -37.80232373287, 144.960858029382 -37.802059117618)))",20873,,,,,,,,Pelham Street between Bouverie Street and Leicester Street,Not determined by precinct plan
"MULTIPOLYGON (((144.975900374515 -37.8094366352, 144.976466100504 -37.809494769573, 144.976418786096 -37.80976871674, 144.975900580079 -37.809712363226, 144.975851045879 -37.809743918124, 144.975857080133 -37.809707632275, 144.975900374515 -37.8094366352)))",22619,,,,,,,,Albert Street between Gisborne Street and Morrison Place,Years 8 - 10
"MULTIPOLYGON (((144.991069569913 -37.810167875935, 144.991239465324 -37.810186301646, 144.991080683304 -37.811108122644, 144.990910672546 -37.811089685703, 144.991069569913 -37.810167875935)))",21998,,,,,,,,Hoddle Street between Albert Street and Victoria Parade,Complete
"MULTIPOLYGON (((144.920917525717 -37.793796796282, 144.921262883866 -37.793597767879, 144.92136636194 -37.793526860702, 144.92178887169 -37.793283250654, 144.921899092698 -37.793219698402, 144.922496110813 -37.792875476002, 144.922587966427 -37.792822512312, 144.92325579116 -37.79243745017, 144.923366009683 -37.792373896462, 144.923512655751 -37.792289338762, 144.923605403462 -37.792390634783, 144.923547850548 -37.792420665461, 144.923127005476 -37.792663608427, 144.923096103887 -37.792679077311, 144.921062710182 -37.793845192946, 144.920997742373 -37.793884436608, 144.920917525717 -37.793796796282)))",22776,,,,,,,,Westbourne Road between Belmont Road and Bayswater Road,Complete
